CENSUSTRACT_FIPS,EMS_RESPONSE_CT,POPULATION_ESTIMATE,PCT_BELOW_POVERTY,PCT_UNEMPLOYED,PCT_SINGLE_PARENT,PCT_MINORITY,PCT_POOR_ENGLISH,PCT_OCCUPIED_HOUSING,PCT_MOBILE_HOMES,PCT_NO_VEHICLE,PCT_HOUSING_10_MORE,PER_CAPITA_INCOME_ESTIMATE,PCT_NO_HIGH_SCHOOL,PCT_NONINSTIT_DIASBILITY,PCT_UNINSURED_NONINSTITUT,PCT_INSTITUIONALIZED,FLAGCT_SES_THEME,FLAGCT_SES_HOUSE_COMP_THEME,FLAGCT_MINORITY_STATUS_LANGUAGE,FLAGCT_HOUSING_TRANS_THEME,FLAGCT_ALL_THEME,FLAGCT_GROUP_QUARTERS,LOW_RATE_VEHICLE_ACCESS,LOW_ACCESS_1_URBAN_10_RURAL,LOW_ACCESS_1_URBAN_20_RURAL,LOW_ACCESS_HALF_URBAN_10_RURAL,VEHICLE_LOW_ACCESS_1,VEHICLE_LOW_ACCESS_10,PCT_HOUSE_VEH_LOW_ACCESS_10,VEHICLE_LOW_ACCESS_1_MILE_S,VEHICLE_LOW_ACCESS_20_MILES_N,VEHICLE_LOW_ACCESS_20_MILES_S,VEHICLE_LOW_ACCESS_HALF_MILE_N,VEHICLE_LOW_ACCESS_HALF_MILE_S,MEDIAN_INCOME,BELOW_POVERTY,URBAN_HOUSING_CT,npi.PUFNPIMean,total_claim_count.PUFNPIMean,total_30_day_fill_count.PUFNPIMean,total_drug_cost.PUFNPIMean,total_day_supply.PUFNPIMean,bene_count.PUFNPIMean,total_claim_count_ge65.PUFNPIMean,total_30_day_fill_count_ge65.PUFNPIMean,total_drug_cost_ge65.PUFNPIMean,total_day_supply_ge65.PUFNPIMean,bene_count_ge65.PUFNPIMean,brand_claim_count.PUFNPIMean,brand_drug_cost.PUFNPIMean,generic_claim_count.PUFNPIMean,generic_drug_cost.PUFNPIMean,other_claim_count.PUFNPIMean,other_drug_cost.PUFNPIMean,opioid_claim_count.PUFNPIMean,opioid_drug_cost.PUFNPIMean,opioid_day_supply.PUFNPIMean,opioid_bene_count.PUFNPIMean,opioid_prescriber_rate.PUFNPIMean,antipsych_claim_count_ge65.PUFNPIMean,antipsych_drug_cost_ge65.PUFNPIMean,antipsych_bene_count_ge65.PUFNPIMean,average_age_of_beneficiaries.PUFNPIMean,beneficiary_age_less_65_count.PUFNPIMean,beneficiary_age_65_74_count.PUFNPIMean,beneficiary_age_75_84_count.PUFNPIMean,beneficiary_age_greater_84_count.PUFNPIMean,beneficiary_female_count.PUFNPIMean,beneficiary_male_count.PUFNPIMean,beneficiary_race_white_count.PUFNPIMean,beneficiary_race_black_count.PUFNPIMean,beneficiary_race_asian_pi_count.PUFNPIMean,beneficiary_race_hispanic_count.PUFNPIMean,beneficiary_race_nat_ind_count.PUFNPIMean,beneficiary_race_other_count.PUFNPIMean,beneficiary_nondual_count.PUFNPIMean,beneficiary_dual_count.PUFNPIMean,beneficiary_average_risk_score.PUFNPIMean,zip.PUFNPIMean,CensusBlock.PUFNPIMean,npi.PUFNPISum,total_claim_count.PUFNPISum,total_30_day_fill_count.PUFNPISum,total_drug_cost.PUFNPISum,total_day_supply.PUFNPISum,bene_count.PUFNPISum,total_claim_count_ge65.PUFNPISum,total_30_day_fill_count_ge65.PUFNPISum,total_drug_cost_ge65.PUFNPISum,total_day_supply_ge65.PUFNPISum,bene_count_ge65.PUFNPISum,brand_claim_count.PUFNPISum,brand_drug_cost.PUFNPISum,generic_claim_count.PUFNPISum,generic_drug_cost.PUFNPISum,other_claim_count.PUFNPISum,other_drug_cost.PUFNPISum,opioid_claim_count.PUFNPISum,opioid_drug_cost.PUFNPISum,opioid_day_supply.PUFNPISum,opioid_bene_count.PUFNPISum,opioid_prescriber_rate.PUFNPISum,antipsych_claim_count_ge65.PUFNPISum,antipsych_drug_cost_ge65.PUFNPISum,antipsych_bene_count_ge65.PUFNPISum,average_age_of_beneficiaries.PUFNPISum,beneficiary_age_less_65_count.PUFNPISum,beneficiary_age_65_74_count.PUFNPISum,beneficiary_age_75_84_count.PUFNPISum,beneficiary_age_greater_84_count.PUFNPISum,beneficiary_female_count.PUFNPISum,beneficiary_male_count.PUFNPISum,beneficiary_race_white_count.PUFNPISum,beneficiary_race_black_count.PUFNPISum,beneficiary_race_asian_pi_count.PUFNPISum,beneficiary_race_hispanic_count.PUFNPISum,beneficiary_race_nat_ind_count.PUFNPISum,beneficiary_race_other_count.PUFNPISum,beneficiary_nondual_count.PUFNPISum,beneficiary_dual_count.PUFNPISum,beneficiary_average_risk_score.PUFNPISum,zip.PUFNPISum,CensusBlock.PUFNPISum,npi.PUFNPICount,specialty_description.PUFNPICount,total_claim_count.PUFNPICount,total_30_day_fill_count.PUFNPICount,total_drug_cost.PUFNPICount,total_day_supply.PUFNPICount,bene_count.PUFNPICount,ge65_suppress_flag.PUFNPICount,total_claim_count_ge65.PUFNPICount,total_30_day_fill_count_ge65.PUFNPICount,total_drug_cost_ge65.PUFNPICount,total_day_supply_ge65.PUFNPICount,bene_count_ge65_suppress_flag.PUFNPICount,bene_count_ge65.PUFNPICount,brand_suppress_flag.PUFNPICount,brand_claim_count.PUFNPICount,brand_drug_cost.PUFNPICount,generic_suppress_flag.PUFNPICount,generic_claim_count.PUFNPICount,generic_drug_cost.PUFNPICount,other_suppress_flag.PUFNPICount,other_claim_count.PUFNPICount,other_drug_cost.PUFNPICount,opioid_claim_count.PUFNPICount,opioid_drug_cost.PUFNPICount,opioid_day_supply.PUFNPICount,opioid_bene_count.PUFNPICount,opioid_prescriber_rate.PUFNPICount,antipsych_ge65_suppress_flag.PUFNPICount,antipsych_claim_count_ge65.PUFNPICount,antipsych_drug_cost_ge65.PUFNPICount,antipsych_bene_ge65_suppress_flg.PUFNPICount,antipsych_bene_count_ge65.PUFNPICount,average_age_of_beneficiaries.PUFNPICount,beneficiary_age_less_65_count.PUFNPICount,beneficiary_age_65_74_count.PUFNPICount,beneficiary_age_75_84_count.PUFNPICount,beneficiary_age_greater_84_count.PUFNPICount,beneficiary_female_count.PUFNPICount,beneficiary_male_count.PUFNPICount,beneficiary_race_white_count.PUFNPICount,beneficiary_race_black_count.PUFNPICount,beneficiary_race_asian_pi_count.PUFNPICount,beneficiary_race_hispanic_count.PUFNPICount,beneficiary_race_nat_ind_count.PUFNPICount,beneficiary_race_other_count.PUFNPICount,beneficiary_nondual_count.PUFNPICount,beneficiary_dual_count.PUFNPICount,beneficiary_average_risk_score.PUFNPICount,Address.PUFNPICount,zip.PUFNPICount,Longitude.PUFNPICount,Latitude.PUFNPICount,CensusBlock.PUFNPICount,First.BuprPhys,Last.BuprPhys,Deg..BuprPhys,FullAddress.BuprPhys,zip.BuprPhys,Longitude.BuprPhys,Latitude.BuprPhys,CensusBlock.BuprPhys,Address.BupFac,Longitude.BupFac,Latitude.BupFac,CensusBlock.BupFac,PsychPhysGRP.Count,ERGRP.Count
21015070100,1,6646,15.3,8.2,9.2,16,2.7,5,0,15.8,39.1,19690,21.6,16.9,15.3,2.1,0,0,0,1,1,0,1,0,0,1,0.036,0,0,0,0,0,129.166,0.047,40427,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39061000200,15,927,46.3,32.4,18.3,91.6,1.6,1.7,0,65.7,47.4,11626,30.2,13.8,26.5,2.6,4,0,1,2,7,0,1,0,0,1,0,0,0,0,0,0,303.559,0.588,19000,43,4,1781100336,507,567.2,22317.905,14191.5,82.5,223,259.7,10506.225,6499,44.5,83,15541.15,417.5,6691.62,6.5,85.135,29,240.39,214,15,10.06,0,0,0,64,38,28.5,NA,NA,53,29.5,49,50,0,0,0,0,37,45.5,1.2726,45214,3.91E+11,3562200672,1014,1134.4,44635.81,28383,165,446,519.4,21012.45,12998,89,166,31082.3,835,13383.24,13,170.27,58,480.78,428,30,20.12,0,0,0,128,76,57,NA,NA,106,59,49,50,0,0,0,0,74,91,2.5452,90428,7.82E+11,2,2,2,2,2,2,2,0,2,2,2,2,0,2,0,2,2,0,2,2,0,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,0,0,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,1,1,1,1,NA,8
39061000700,198,2038,11.5,5,1.2,40.1,1.8,1.8,0,29.7,77.4,43470,9.1,12.7,20.5,25.6,0,0,0,3,3,0,1,0,0,1,0,0,0,0,0,0,583.55,0.369,57171,15.3,NA,1454444732,141.3333333,182.3222222,15255.11444,4931.666667,27.33333333,92.2,161.84,6757.298,4424,19,31.375,12255.72875,121.375,4797.43,1.875,62.15875,15.8,789.242,227,0,3.518,0,0,0,69.5,0,13,NA,0,32,22,27,NA,0,0,0,0,NA,NA,0.9423,45202,3.91E+11,13090002589,1272,1640.9,137296.03,44385,164,461,809.2,33786.49,22120,38,251,98045.83,971,38379.44,15,497.27,79,3946.21,1135,0,17.59,0,0,0,417,0,13,NA,0,32,22,27,NA,0,0,0,0,NA,NA,5.6538,406818,3.52E+12,9,9,9,9,9,9,6,4,5,5,5,5,7,2,1,8,8,1,8,8,1,8,8,5,5,5,4,5,2,7,7,2,7,6,2,1,0,1,1,1,1,0,6,5,6,4,0,0,6,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,6,6
39061000900,100,1238,55.9,18.2,16.4,48.2,0,1,0,36.9,37.3,21012,15.4,23.4,24.5,35.7,2,1,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,16307,62.7,1,1471171325,3429.666667,4057.6,116495.96,115954,173.6666667,2014.666667,2380.9,55915.65333,68262.66667,128.5,768,86884.05333,2595,28343.25333,66.66666667,1268.653333,63.5,439.235,1389.5,22,1.19,0,0,0,67.33333333,121,77,52,27,158,91.5,53,207.5,0,0,0,0,69.5,180,1.5972,45202,3.91E+11,4413513976,10289,12172.8,349487.88,347862,521,6044,7142.7,167746.96,204788,257,2304,260652.16,7785,85029.76,200,3805.96,127,878.47,2779,22,2.38,0,0,0,202,242,154,52,27,316,183,53,415,0,0,0,0,139,360,4.7916,135606,1.17E+12,3,3,3,3,3,3,3,0,3,3,3,3,1,2,0,3,3,0,3,3,0,3,3,2,2,2,1,2,2,1,1,2,1,3,2,2,1,1,2,2,1,2,2,2,3,1,2,2,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,3
39061001000,30,1452,34.1,18.2,20.7,50.1,0.3,0.7,0,34.8,42,30262,12.8,22,20.2,6,1,2,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0.003,0,40690,29.9,NA,1607093466,1437.833333,1743.25,91020.40833,47570.33333,98.33333333,571.8333333,686.35,34539.01833,19527.5,34.33333333,451,106498.04,1087.666667,16237.7,43.75,992.855,79.66666667,1295.9,1308.166667,24,10.81666667,4,1373.7,0,57.16666667,64,32,NA,0,68.33333333,30,28,72.4,0,0,0,0,20.6,79.4,1.351133333,45202,3.91E+11,9642560797,8627,10459.5,546122.45,285422,590,3431,4118.1,207234.11,117165,206,1804,425992.16,6526,97426.2,175,3971.42,478,7775.4,7849,144,64.9,16,5494.8,0,343,384,96,NA,0,410,180,28,362,0,0,0,0,103,397,8.1068,271212,2.35E+12,6,6,6,6,6,6,6,0,6,6,6,6,0,6,2,4,4,0,6,6,2,4,4,6,6,6,6,6,2,4,4,3,3,6,6,3,0,1,6,6,1,5,3,1,6,5,5,5,6,6,6,6,6,6,1,1,0,1,1,1,1,1,NA,NA,NA,NA,5,2
39061001100,43,1042,51.4,33.4,36.9,78.4,0,0,0,37.4,10.1,18763,15.5,11.2,14.9,0.2,2,2,0,1,5,0,1,0,0,1,0,0,0,0,0,0,227.613,0.543,22292,46.1,NA,1331308259,662,749.6,33623.57,20696.5,57.5,268,325.85,14668.01,9136,29,106,24725.985,548.5,8664.5,7.5,233.085,11.5,204.185,205,0,0.89,0,0,0,61,65,NA,NA,NA,50,44,NA,78,0,0,0,0,22,72,1.04775,45202,3.91E+11,2662616517,1324,1499.2,67247.14,41393,115,536,651.7,29336.02,18272,29,212,49451.97,1097,17329,15,466.17,23,408.37,410,0,1.78,0,0,0,122,65,NA,NA,NA,50,44,NA,78,0,0,0,0,22,72,2.0955,90404,7.82E+11,2,2,2,2,2,2,2,0,2,2,2,2,1,1,0,2,2,0,2,2,0,2,2,2,2,2,1,2,0,2,2,0,2,2,1,0,0,0,1,1,0,1,1,1,2,1,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
39061001600,139,965,64.8,40.3,16.7,81.8,0,3.7,0.4,65.8,32.7,13440,24.1,19.2,31.9,3.8,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8516,61.9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
39061001700,52,913,66.9,23.8,32.4,80.1,0,2.3,0,57,17.7,12460,17.2,20.6,18.6,0,3,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1.666,0.003,11644,79.2,2,1154180575,528.3333333,588.7333333,32640.75667,17049.66667,38.33333333,77.33333333,106.6666667,2369.11,3132.333333,NA,95.5,25638.015,428.3333333,9280.49,7.5,138.735,3.666666667,79.26,110,0,0.79,0,0,0,54.66666667,NA,NA,NA,NA,18,32,20,25,0,0,0,0,13.5,30.5,1.228533333,45202,3.91E+11,3462541725,1585,1766.2,97922.27,51149,115,232,320,7107.33,9397,NA,191,51276.03,1285,27841.47,15,277.47,11,237.78,330,0,2.37,0,0,0,164,NA,NA,NA,NA,18,32,20,50,0,0,0,0,27,61,3.6856,135606,1.17E+12,3,3,3,3,3,3,3,0,3,3,3,3,3,0,1,2,2,0,3,3,1,2,2,3,3,3,2,3,1,2,2,1,2,3,0,0,0,0,1,1,1,2,3,1,3,1,2,2,3,3,3,3,3,3,2,2,1,2,2,2,2,2,NA,NA,NA,NA,NA,1
39061001800,17,1632,28.5,8.3,5.1,49.4,0.4,0.7,0,9,6.1,29814,11.7,11.2,13.1,14.9,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,65.866,0.087,44028,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
39061001900,27,1609,16.7,14,5,47.5,0,1.8,0,20,22.4,46231,11.3,8.3,15.4,3.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,110.769,0.132,58977,15.4,3,1554544377,426.6,493.44,14263.516,11952.8,148.6666667,184.8,225.72,5440.214,5403,66.66666667,180,22806.435,804,9821.545,7.4,300.626,53.5,589.7525,515.25,42.25,21.74,0,0,0,62.33333333,82,36.66666667,53,13,86.66666667,62,132,95,0,NA,0,0,61,87.66666667,1.279166667,45202.8,3.91E+11,7772721887,2133,2467.2,71317.58,59764,446,924,1128.6,27201.07,27015,200,360,45612.87,1608,19643.09,37,1503.13,214,2359.01,2061,169,86.96,0,0,0,187,246,110,53,13,260,186,264,95,0,NA,0,0,183,263,3.8375,226014,1.96E+12,5,5,5,5,5,5,3,0,5,5,5,5,2,3,3,2,2,3,2,2,0,5,5,4,4,4,4,4,0,5,5,0,5,3,3,3,1,1,3,3,2,1,2,0,2,2,3,3,3,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,2
39061002000,6,1602,12.9,6.7,4.3,41.1,0.5,2.6,0,11.4,52.5,44103,5.6,9.2,12.2,4.9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25.208,0.03,59000,17.9,NA,1673360355,196.3333333,253.8666667,14375.71,6788,45,139.6666667,194.5666667,6974.616667,5202.666667,29,0,0,146.6666667,4318.18,0,0,37,3092.72,848.5,17.5,11.56,0,0,0,65,25,NA,NA,NA,24,30,27,0,0,0,0,0,29,25,1.1672,45206,3.91E+11,5020081066,589,761.6,43127.13,20364,90,419,583.7,20923.85,15608,29,0,0,440,12954.54,0,0,74,6185.44,1697,35,23.12,0,0,0,130,25,NA,NA,NA,24,30,27,0,0,0,0,0,29,25,2.3344,135618,1.17E+12,3,3,3,3,3,3,2,0,3,3,3,3,2,1,2,1,1,0,3,3,2,1,1,2,2,2,2,2,1,2,2,1,2,2,1,0,0,0,1,1,1,1,2,1,2,1,1,1,2,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,1
39061002200,27,2291,31.2,28.5,18.1,80.6,1,2.3,0,33.5,19.8,15740,21.6,17.3,17.9,4.4,1,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,130.802,0.137,27500,30.4,4,1445556643,195.9230769,227.4730769,29453.23538,4908.769231,72.43478261,240.2,280.8733333,33829.16333,6136.733333,107.3636364,64.35294118,37413.57765,193.2352941,5522.337059,0,0,42.70588235,3034.073529,547.9411765,22.73333333,12.52941176,0,0,0,67.82608696,21.54545455,75.125,54.4,25,70.35714286,29.78571429,91.5,6,0,0,0,0,82,20.07692308,1.237443478,45212.46154,3.91E+11,37584472726,5094,5914.3,765784.12,127628,1666,3603,4213.1,507437.45,92051,1181,1094,636030.82,3285,93879.73,0,0,726,51579.25,9315,341,213,0,0,0,1560,237,601,272,150,985,417,1098,12,0,0,0,0,1066,261,28.4612,1175524,1.02E+13,26,26,26,26,26,26,23,11,15,15,15,15,15,11,9,17,17,9,17,17,6,20,20,17,17,17,15,17,2,24,24,2,24,23,11,8,5,6,14,14,12,2,18,18,21,10,13,13,23,26,26,26,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,25
39061002300,23,1228,53.2,25.5,23.6,78.3,0.1,4.3,0,35.5,21.9,18355,21.3,18.8,17.6,5.4,2,1,0,2,5,0,1,0,0,1,0,0,0,0,0,0,126.05,0.276,19531,50.3,1,1491451154,1053.658537,1470.990244,116478.0982,41270.51568,126.9,887.5019763,1305.075494,76267.56379,36873.98024,132.5930233,340.7105263,119867.6624,1021.526316,28864.70487,7.822660099,235.4410837,102.7816092,9815.250345,2267.454023,33.7,11.86241379,3.969111969,624.0673745,0.489795918,68.04615385,39.74269006,85.66165414,77.43373494,29.26966292,85.36180905,71.07035176,151.9166667,41.67692308,0,0,0,0.285714286,128.7413793,42.32758621,1.862706538,45219,3.91E+11,4.28E+11,302400,422174.2,33429214.19,11844638,32994,224538,330184.1,19295693.64,9329117,22806,51788,18219884.68,232908,6581152.71,1588,47794.54,17884,1707853.56,394537,5055,2064.06,1028,161633.45,120,17692,6796,11393,6427,2605,16987,14143,21876,2709,0,0,0,34,22401,7365,484.3037,12977853,1.12E+14,287,287,287,287,287,287,260,34,253,253,253,253,115,172,135,152,152,59,228,228,84,203,203,174,174,174,150,174,28,259,259,42,245,260,171,133,83,89,199,199,144,65,173,167,248,119,174,174,260,287,287,287,287,287,8,8,8,8,8,8,8,8,NA,NA,NA,NA,170,117
39061002500,24,2369,55.7,3.7,5.7,20.7,1.2,0,0,18,27,13936,14.7,5.8,8.2,0.8,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,85.822,0.073,21393,61.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,18,9
39061002600,30,4036,62.6,6.7,9.3,21.6,1.2,4,1.9,17.4,3.7,11818,4.6,9.8,9.7,0.7,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.467,0.001,21496,62.1,3,1617545390,638.3636364,761.3454545,75242.66636,19806.63636,105.75,382.8,505.4,42517.826,13094.7,105,111.5,78947.03667,661.8888889,21542.19333,1.5,6.1775,121.75,5177.5625,2725,31.625,15.72375,25.55555556,5075.545556,3.222222222,66.625,50.4,51,35.75,20.25,88.66666667,44.66666667,109,NA,0,0,0,0,81,74.4,2.0300875,45219,3.91E+11,17792999293,7022,8374.8,827669.33,217873,846,3828,5054,425178.26,130947,525,669,473682.22,5957,193879.74,12,49.42,974,41420.5,21800,253,125.79,230,45679.91,29,533,252,255,143,81,532,268,436,NA,0,0,0,0,405,372,16.2407,497409,4.30E+12,11,11,11,11,11,11,8,1,10,10,10,10,6,5,5,6,6,2,9,9,3,8,8,8,8,8,8,8,2,9,9,2,9,8,5,5,4,4,6,6,4,0,5,4,8,4,5,5,8,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,19
39061002700,10,1865,48.7,12.4,8.9,36.5,0.3,3.5,0.8,18,10.7,20668,15.1,6.3,19,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26930,53.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39061002800,92,1687,42.4,18.1,26.7,42.4,1.4,10.2,1.3,21.1,14.6,12643,28.2,14.1,20.4,22.2,3,1,0,2,6,0,1,0,0,1,5.574,0,0,0.011,0,0,143.26,0.279,29769,41.3,1,1376731398,13,13,112.37,92,NA,NA,NA,NA,NA,NA,0,0,13,112.37,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45225,3.91E+11,1376731398,13,13,112.37,92,NA,NA,NA,NA,NA,NA,0,0,13,112.37,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45225,3.91E+11,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39061002900,30,5294,37.6,9.6,2.6,31.3,1.8,3.6,2.1,19.2,54.7,16835,6.3,7.6,11.2,21,1,0,0,2,3,0,1,0,0,1,0,0,0,0,0,0,330.449,0.159,23157,33.9,NA,1514094247,997.4468085,1337.94383,74546.12281,36880.22553,139.2604651,916.1649485,1279.731959,55474.28531,35583.37629,146.777027,358.1941748,93843.9534,1089.333333,25679.03321,11.15483871,332.6474839,82.18954248,3724.851242,1580.529412,32.27941176,19.64627451,5.901960784,453.3835294,0.489690722,67.13023256,41.02027027,90.3963964,90.63636364,35.60714286,96.63687151,65.18994413,167.6388889,78.04166667,0,0.3203125,0,0,137.1793103,53.64827586,1.676526977,45219.98723,3.91E+11,3.56E+11,234400,314416.8,17518338.86,8666853,29941,177736,248268,10762011.35,6903175,21723,36894,9665927.2,183008,4314077.58,1729,51560.36,12575,569902.24,241821,4390,3005.88,1204,92490.24,95,14433,6071,10034,6979,2991,17298,11669,18105,3746,0,41,0,0,19891,7779,360.4533,10626697,9.19E+13,235,235,235,235,235,235,215,41,194,194,194,194,87,148,132,103,103,67,168,168,80,155,155,153,153,153,136,153,31,204,204,41,194,215,148,111,77,84,179,179,108,48,120,128,197,86,145,145,215,235,235,235,235,235,6,6,5,6,6,6,6,6,NA,NA,NA,NA,139,172
